sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
14,0.000 122 070,"Idle","k_mutex_lock","Returns ESUCCESS after 0.000 us",4,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,182,5,1C 02 27 00 00 
15,0.000 152 588,"Idle","k_mutex_unlock","",5,0x0000000000000000,0x0000000000000000,0x0000000000000000,38,187,8,26 05 D4 C1 80 80 02 01 
16,0.000 152 588,"Idle","k_mutex_unlock","Returns ESUCCESS after 0.000 us",5,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,195,5,1C 02 26 00 00 
17,0.000 152 588,"Idle","k_sem_init","sem=0x200065C0, initial_count=0,",5,0x0000000000000000,0x0000000000000000,0x0000000000000000,40,200,9,28 06 C0 CB 81 80 02 00 00 
18,0.000 152 588,"Idle","k_mutex_init","",5,0x0000000000000000,0x0000000000000000,0x0000000000000000,37,209,9,25 06 D8 CB 81 80 02 00 00 
19,0.000 152 588,"Idle","k_sem_init","sem=0x200065FC, initial_count=0,",5,0x0000000000000000,0x0000000000000000,0x0000000000000000,40,218,9,28 06 FC CB 81 80 02 00 00 
20,0.000 183 105,"Idle","k_mutex_lock","mutex=0x200020D4,",6,0x0000000000000000,0x0000000000000000,0x0000000000000000,39,227,13,27 0A D4 C1 80 80 02 FF FF FF FF 0F 01 
21,0.000 183 105,"Idle","k_mutex_lock","Returns ESUCCESS after 0.000 us",6,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,240,5,1C 02 27 00 00 
22,0.000 213 623,"Idle","k_mutex_unlock","",7,0x0000000000000000,0x0000000000000000,0x0000000000000000,38,245,8,26 05 D4 C1 80 80 02 01 
23,0.000 213 623,"Idle","k_mutex_unlock","Returns ESUCCESS after 0.000 us",7,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,253,5,1C 02 26 00 00 
24,0.000 213 623,"Idle","k_mutex_init","",7,0x0000000000000000,0x0000000000000000,0x0000000000000000,37,258,9,25 06 8C E2 81 80 02 00 00 
25,0.000 213 623,"Idle","k_event_init","event=0x20007128",7,0x0000000000000000,0x0000000000000000,0x0000000000000000,164,267,9,A4 01 05 A8 E2 81 80 02 00 
26,0.000 244 141,"Idle","k_mutex_lock","mutex=0x200020D4,",8,0x0000000000000000,0x0000000000000000,0x0000000000000000,39,276,13,27 0A D4 C1 80 80 02 FF FF FF FF 0F 01 
27,0.000 244 141,"Idle","k_mutex_lock","Returns ESUCCESS after 0.000 us",8,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,289,5,1C 02 27 00 00 
28,0.000 244 141,"Idle","k_mutex_unlock","",8,0x0000000000000000,0x0000000000000000,0x0000000000000000,38,294,8,26 05 D4 C1 80 80 02 00 
29,0.000 244 141,"Idle","k_mutex_unlock","Returns ESUCCESS after 0.000 us",8,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,302,5,1C 02 26 00 00 
30,0.000 244 141,"Idle","k_mutex_init","",8,0x0000000000000000,0x0000000000000000,0x0000000000000000,37,307,9,25 06 FC E2 81 80 02 00 00 
31,0.000 274 658,"Idle","k_event_init","event=0x20007198",9,0x0000000000000000,0x0000000000000000,0x0000000000000000,164,316,9,A4 01 05 98 E3 81 80 02 01 
32,0.000 274 658,"Idle","k_mutex_lock","mutex=0x200020D4,",9,0x0000000000000000,0x0000000000000000,0x0000000000000000,39,325,13,27 0A D4 C1 80 80 02 FF FF FF FF 0F 00 
33,0.000 274 658,"Idle","k_mutex_lock","Returns ESUCCESS after 0.000 us",9,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,338,5,1C 02 27 00 00 
34,0.000 305 176,"Idle","k_mutex_unlock","",10,0x0000000000000000,0x0000000000000000,0x0000000000000000,38,343,8,26 05 D4 C1 80 80 02 01 
35,0.000 305 176,"Idle","k_mutex_unlock","Returns ESUCCESS after 0.000 us",10,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,351,5,1C 02 26 00 00 
36,0.000 305 176,"Idle","k_mutex_init","",10,0x0000000000000000,0x0000000000000000,0x0000000000000000,37,356,9,25 06 EC E3 81 80 02 00 00 
37,0.000 305 176,"Idle","k_event_init","event=0x20007208",10,0x0000000000000000,0x0000000000000000,0x0000000000000000,164,365,9,A4 01 05 88 E4 81 80 02 00 
38,0.000 305 176,"Idle","k_mutex_lock","mutex=0x200020D4,",10,0x0000000000000000,0x0000000000000000,0x0000000000000000,39,374,13,27 0A D4 C1 80 80 02 FF FF FF FF 0F 00 
39,0.000 335 693,"Idle","k_mutex_lock","Returns ESUCCESS after 30.518 us",11,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,387,5,1C 02 27 00 01 
40,0.000 335 693,"Idle","k_mutex_unlock","",11,0x0000000000000000,0x0000000000000000,0x0000000000000000,38,392,8,26 05 D4 C1 80 80 02 00 
41,0.000 335 693,"Idle","k_mutex_unlock","Returns ESUCCESS after 0.000 us",11,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,400,5,1C 02 26 00 00 
42,0.000 335 693,"Idle","k_mutex_init","",11,0x0000000000000000,0x0000000000000000,0x0000000000000000,37,405,9,25 06 DC E4 81 80 02 00 00 
43,0.000 335 693,"Idle","k_event_init","event=0x20007278",11,0x0000000000000000,0x0000000000000000,0x0000000000000000,164,414,9,A4 01 05 F8 E4 81 80 02 00 
44,0.000 366 211,"Idle","k_sleep","msec=9000 ms",12,0x0000000000000000,0x0000000000000000,0x0000000000000000,95,423,5,5F 02 A8 46 01 
45,0.000 396 729,"Idle","Task Stop","",13,0x0000000000000000,0x0000000000000000,0x0000000400000000,5,428,2,05 01 
46,0.000 396 729,"Task 0xE0000000","Task Run","Runs for 0.000 us",13,0x0000000400000000,0x00000008E0000000,0x00000008E0000000,4,430,7,04 80 80 80 80 0E 00 
47,0.000 396 729,"Idle","System Idle","",13,0x00000008E0000000,0x0000001000000000,0x0000001000000000,17,437,2,11 00 
48,9.000 396 729,"ISR 37","ISR Enter","Runs for 30.518 us",294925,0x0000001000000000,0x0000000100000025,0x0000000100000025,2,439,5,02 25 80 80 12 
49,9.000 396 729,"ISR 37","Task Ready","main, runs after 30.518 us",294925,0x0000000100000025,0x0000000100000025,0x0000000100000025,6,444,4,06 90 50 00 
50,9.000 427 246,"ISR 37","ISR Exit","Returns to Idle",294926,0x0000000100000025,0x0000000100000025,0x0000001000000000,3,448,2,03 01 
51,9.000 427 246,"Idle","Task Stop","",294926,0x0000001000000000,0x0000001000000000,0x0000000400000000,5,450,2,05 00 
52,9.000 427 246,"main","Task Run","Runs for 518.799 us",294926,0x0000000400000000,0x0000000800002810,0x0000000800002810,4,452,4,04 90 50 00 
53,9.000 427 246,"main","k_sleep","Returns 0",294926,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,456,5,1C 02 5F 00 00 
54,9.000 457 764,"main","k_mutex_lock","mutex=0x2000710C,",294927,0x0000000800002810,0x0000000800002810,0x0000000800002810,39,461,13,27 0A 8C E2 81 80 02 FF FF FF FF 0F 01 
55,9.000 457 764,"main","k_mutex_lock","Returns ESUCCESS after 0.000 us",294927,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,474,5,1C 02 27 00 00 
56,9.000 457 764,"main","Task Create","T0x20002130E0x200021a0 (0x00002130)",294927,0x0000000800002810,0x0000000800002810,0x0000000800002810,8,479,4,08 B0 42 00 
57,9.000 488 281,"main","Task Info","T0x20002130E0x200021a0 (0x00002130): Priority=7",294928,0x0000000800002810,0x0000000800002810,0x0000000800002810,9,483,28,09 B0 42 07 16 54 30 78 32 30 30 30 32 31 33 30 45 30 78 32 30 30 30 32 31 61 30 01 
58,9.000 518 799,"main","Stack Info","T0x20002130E0x200021a0 (0x00002130): 536882568 @ 0x00000400, 536882198 Bytes used",294929,0x0000000800002810,0x0000000800002810,0x0000000800002810,21,511,16,15 B0 42 80 08 88 DB 80 80 02 96 D8 80 80 02 01 
59,9.000 518 799,"main","k_thread_name_set","thread=0x20002130",294929,0x0000000800002810,0x0000000800002810,0x0000000800002810,155,527,9,9B 01 05 B0 C2 80 80 02 00 
60,9.000 518 799,"main","Task Info","Engine (0x00002130): Priority=7",294929,0x0000000800002810,0x0000000800002810,0x0000000800002810,9,536,12,09 B0 42 07 06 45 6E 67 69 6E 65 00 
61,9.000 518 799,"main","Stack Info","Engine (0x00002130): 536882568 @ 0x00000400, 4294967295 Bytes used",294929,0x0000000800002810,0x0000000800002810,0x0000000800002810,21,548,16,15 B0 42 80 08 88 DB 80 80 02 FF FF FF FF 0F 00 
62,9.000 549 316,"main","k_thread_wakeup","",294930,0x0000000800002810,0x0000000800002810,0x0000000800002810,99,564,8,63 05 B0 C2 80 80 02 01 
63,9.000 549 316,"main","Task Ready","Engine",294930,0x0000000800002810,0x0000000800002810,0x0000000800002810,6,572,4,06 B0 42 00 
64,9.000 549 316,"main","k_mutex_unlock","",294930,0x0000000800002810,0x0000000800002810,0x0000000800002810,38,576,8,26 05 8C E2 81 80 02 00 
65,9.000 549 316,"main","k_mutex_unlock","Returns ESUCCESS after 0.000 us",294930,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,584,5,1C 02 26 00 00 
66,9.000 579 834,"main","k_mutex_lock","mutex=0x2000717C,",294931,0x0000000800002810,0x0000000800002810,0x0000000800002810,39,589,13,27 0A FC E2 81 80 02 FF FF FF FF 0F 01 
67,9.000 579 834,"main","k_mutex_lock","Returns ESUCCESS after 0.000 us",294931,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,602,5,1C 02 27 00 00 
68,9.000 579 834,"main","Task Create","T0x200021f0E0x20002260 (0x000021F0)",294931,0x0000000800002810,0x0000000800002810,0x0000000800002810,8,607,4,08 F0 43 00 
69,9.000 610 352,"main","Task Info","T0x200021f0E0x20002260 (0x000021F0): Priority=8",294932,0x0000000800002810,0x0000000800002810,0x0000000800002810,9,611,28,09 F0 43 08 16 54 30 78 32 30 30 30 32 31 66 30 45 30 78 32 30 30 30 32 32 36 30 01 
70,9.000 610 352,"main","Stack Info","T0x200021f0E0x20002260 (0x000021F0): 536883592 @ 0x00000400, 536882198 Bytes used",294932,0x0000000800002810,0x0000000800002810,0x0000000800002810,21,639,16,15 F0 43 80 08 88 E3 80 80 02 96 D8 80 80 02 00 
71,9.000 640 869,"main","k_thread_name_set","thread=0x200021F0",294933,0x0000000800002810,0x0000000800002810,0x0000000800002810,155,655,9,9B 01 05 F0 C3 80 80 02 01 
72,9.000 640 869,"main","Task Info","Display (0x000021F0): Priority=8",294933,0x0000000800002810,0x0000000800002810,0x0000000800002810,9,664,13,09 F0 43 08 07 44 69 73 70 6C 61 79 00 
73,9.000 640 869,"main","Stack Info","Display (0x000021F0): 536883592 @ 0x00000400, 4294967295 Bytes used",294933,0x0000000800002810,0x0000000800002810,0x0000000800002810,21,677,16,15 F0 43 80 08 88 E3 80 80 02 FF FF FF FF 0F 00 
74,9.000 640 869,"main","k_thread_wakeup","",294933,0x0000000800002810,0x0000000800002810,0x0000000800002810,99,693,8,63 05 F0 C3 80 80 02 00 
75,9.000 671 387,"main","Task Ready","Display, runs after 9.161 s",294934,0x0000000800002810,0x0000000800002810,0x0000000800002810,6,701,4,06 F0 43 01 
76,9.000 671 387,"main","k_mutex_unlock","",294934,0x0000000800002810,0x0000000800002810,0x0000000800002810,38,705,8,26 05 FC E2 81 80 02 00 
77,9.000 671 387,"main","k_mutex_unlock","Returns ESUCCESS after 0.000 us",294934,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,713,5,1C 02 26 00 00 
78,9.000 671 387,"main","k_mutex_lock","mutex=0x200071EC,",294934,0x0000000800002810,0x0000000800002810,0x0000000800002810,39,718,13,27 0A EC E3 81 80 02 FF FF FF FF 0F 00 
79,9.000 671 387,"main","k_mutex_lock","Returns ESUCCESS after 0.000 us",294934,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,731,5,1C 02 27 00 00 
80,9.000 701 904,"main","Task Create","T0x200022b0E0x20002320 (0x000022B0)",294935,0x0000000800002810,0x0000000800002810,0x0000000800002810,8,736,4,08 B0 45 01 
81,9.000 732 422,"main","Task Info","T0x200022b0E0x20002320 (0x000022B0): Priority=9",294936,0x0000000800002810,0x0000000800002810,0x0000000800002810,9,740,28,09 B0 45 09 16 54 30 78 32 30 30 30 32 32 62 30 45 30 78 32 30 30 30 32 33 32 30 01 
82,9.000 732 422,"main","Stack Info","T0x200022b0E0x20002320 (0x000022B0): 536884616 @ 0x00000400, 536882198 Bytes used",294936,0x0000000800002810,0x0000000800002810,0x0000000800002810,21,768,16,15 B0 45 80 08 88 EB 80 80 02 96 D8 80 80 02 00 
83,9.000 732 422,"main","k_thread_name_set","thread=0x200022B0",294936,0x0000000800002810,0x0000000800002810,0x0000000800002810,155,784,9,9B 01 05 B0 C5 80 80 02 00 
84,9.000 762 939,"main","Task Info","Tire (0x000022B0): Priority=9",294937,0x0000000800002810,0x0000000800002810,0x0000000800002810,9,793,10,09 B0 45 09 04 54 69 72 65 01 
85,9.000 762 939,"main","Stack Info","Tire (0x000022B0): 536884616 @ 0x00000400, 4294967295 Bytes used",294937,0x0000000800002810,0x0000000800002810,0x0000000800002810,21,803,16,15 B0 45 80 08 88 EB 80 80 02 FF FF FF FF 0F 00 
86,9.000 762 939,"main","k_thread_wakeup","",294937,0x0000000800002810,0x0000000800002810,0x0000000800002810,99,819,8,63 05 B0 C5 80 80 02 00 
87,9.000 762 939,"main","Task Ready","Tire, runs after 9.661 s",294937,0x0000000800002810,0x0000000800002810,0x0000000800002810,6,827,4,06 B0 45 00 
88,9.000 762 939,"main","k_mutex_unlock","",294937,0x0000000800002810,0x0000000800002810,0x0000000800002810,38,831,8,26 05 EC E3 81 80 02 00 
89,9.000 793 457,"main","k_mutex_unlock","Returns ESUCCESS after 30.518 us",294938,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,839,5,1C 02 26 00 01 
90,9.000 793 457,"main","k_mutex_lock","mutex=0x2000725C,",294938,0x0000000800002810,0x0000000800002810,0x0000000800002810,39,844,13,27 0A DC E4 81 80 02 FF FF FF FF 0F 00 
91,9.000 793 457,"main","k_mutex_lock","Returns ESUCCESS after 0.000 us",294938,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,857,5,1C 02 27 00 00 
92,9.000 793 457,"main","Task Create","T0x20002370E0x200023e0 (0x00002370)",294938,0x0000000800002810,0x0000000800002810,0x0000000800002810,8,862,4,08 F0 46 00 
93,9.000 823 975,"main","Task Info","T0x20002370E0x200023e0 (0x00002370): Priority=10",294939,0x0000000800002810,0x0000000800002810,0x0000000800002810,9,866,28,09 F0 46 0A 16 54 30 78 32 30 30 30 32 33 37 30 45 30 78 32 30 30 30 32 33 65 30 01 
94,9.000 854 492,"main","Stack Info","T0x20002370E0x200023e0 (0x00002370): 536885640 @ 0x00000400, 536882198 Bytes used",294940,0x0000000800002810,0x0000000800002810,0x0000000800002810,21,894,16,15 F0 46 80 08 88 F3 80 80 02 96 D8 80 80 02 01 
95,9.000 854 492,"main","k_thread_name_set","thread=0x20002370",294940,0x0000000800002810,0x0000000800002810,0x0000000800002810,155,910,9,9B 01 05 F0 C6 80 80 02 00 
96,9.000 854 492,"main","Task Info","Rain (0x00002370): Priority=10",294940,0x0000000800002810,0x0000000800002810,0x0000000800002810,9,919,10,09 F0 46 0A 04 52 61 69 6E 00 
97,9.000 854 492,"main","Stack Info","Rain (0x00002370): 536885640 @ 0x00000400, 4294967295 Bytes used",294940,0x0000000800002810,0x0000000800002810,0x0000000800002810,21,929,16,15 F0 46 80 08 88 F3 80 80 02 FF FF FF FF 0F 00 
98,9.000 885 010,"main","k_thread_wakeup","",294941,0x0000000800002810,0x0000000800002810,0x0000000800002810,99,945,8,63 05 F0 C6 80 80 02 01 
99,9.000 885 010,"main","Task Ready","Rain, runs after 10.467 ms",294941,0x0000000800002810,0x0000000800002810,0x0000000800002810,6,953,4,06 F0 46 00 
100,9.000 885 010,"main","k_mutex_unlock","",294941,0x0000000800002810,0x0000000800002810,0x0000000800002810,38,957,8,26 05 DC E4 81 80 02 00 
101,9.000 885 010,"main","k_mutex_unlock","Returns ESUCCESS after 0.000 us",294941,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,965,5,1C 02 26 00 00 
102,9.000 885 010,"main","k_sem_give","sem=0x200065FC",294941,0x0000000800002810,0x0000000800002810,0x0000000800002810,41,970,8,29 05 FC CB 81 80 02 00 
103,9.000 915 527,"main","k_sem_give","Returns after 0.000 us",294942,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,978,4,1C 01 29 01 
104,9.000 915 527,"main","k_sem_give","sem=0x200065FC",294942,0x0000000800002810,0x0000000800002810,0x0000000800002810,41,982,8,29 05 FC CB 81 80 02 00 
105,9.000 915 527,"main","k_sem_give","Returns after 0.000 us",294942,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,990,4,1C 01 29 00 
106,9.000 915 527,"main","k_sem_give","sem=0x200065FC",294942,0x0000000800002810,0x0000000800002810,0x0000000800002810,41,994,8,29 05 FC CB 81 80 02 00 
107,9.000 915 527,"main","k_sem_give","Returns after 0.000 us",294942,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,1002,4,1C 01 29 00 
108,9.000 915 527,"main","k_sem_give","sem=0x200065FC",294942,0x0000000800002810,0x0000000800002810,0x0000000800002810,41,1006,8,29 05 FC CB 81 80 02 00 
109,9.000 915 527,"main","k_sem_give","Returns after 0.000 us",294942,0x0000000800002810,0x0000000800002810,0x0000000800002810,28,1014,4,1C 01 29 00 
110,9.000 946 045,"main","k_sleep","msec=4294967295 ms",294943,0x0000000800002810,0x0000000800002810,0x0000000800002810,95,1018,8,5F 05 FF FF FF FF 0F 01 
111,9.000 946 045,"main","Task Stop","",294943,0x0000000800002810,0x0000000800002810,0x0000000400000000,5,1026,2,05 00 
112,9.000 946 045,"Task 0xE0000000","Task Run","Runs for 61.035 us",294943,0x0000000400000000,0x00000008E0000000,0x00000008E0000000,4,1028,7,04 80 80 80 80 0E 00 
113,9.000 946 045,"Task 0xE0000000","k_event_post","event=0x20007128, events=1, events_mask=4294967295",294943,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,165,1035,15,A5 01 0B A8 E2 81 80 02 01 FF FF FF FF 0F 00 
114,9.000 976 563,"Task 0xE0000000","k_event_post","Returns after 30.518 us",294944,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1050,5,1C 02 A5 01 01 
115,9.000 976 563,"Task 0xE0000000","k_sem_take","sem=0x200065FC, Timeout=FOREVER",294944,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,42,1055,13,2A 0A FC CB 81 80 02 FF FF FF FF 0F 00 
116,9.000 976 563,"Task 0xE0000000","k_sem_take","Returns ESUCCESS after 0.000 us",294944,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1068,5,1C 02 2A 00 00 
117,9.000 976 563,"Task 0xE0000000","k_mutex_lock","mutex=0x200065D8,",294944,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,39,1073,13,27 0A D8 CB 81 80 02 FF FF FF FF 0F 00 
118,9.000 976 563,"Task 0xE0000000","k_mutex_lock","Returns ESUCCESS after 0.000 us",294944,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1086,5,1C 02 27 00 00 
119,9.001 007 080,"Task 0xE0000000","k_mutex_unlock","",294945,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,38,1091,8,26 05 D8 CB 81 80 02 01 
120,9.001 007 080,"Task 0xE0000000","k_mutex_unlock","Returns ESUCCESS after 0.000 us",294945,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1099,5,1C 02 26 00 00 
121,9.001 007 080,"Task 0xE0000000","k_sem_take","sem=0x200065C0, Timeout=FOREVER",294945,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,42,1104,13,2A 0A C0 CB 81 80 02 FF FF FF FF 0F 00 
122,9.001 007 080,"Task 0xE0000000","Task Block","Engine, Reason=24",294945,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,7,1117,5,07 B0 42 18 00 
123,9.001 007 080,"Task 0xE0000000","Task Stop","",294945,0x00000008E0000000,0x00000008E0000000,0x0000000400000000,5,1122,2,05 00 
124,9.001 037 598,"Task 0xE0000000","Task Run","Runs for 61.035 us",294946,0x0000000400000000,0x00000008E0000000,0x00000008E0000000,4,1124,7,04 80 80 80 80 0E 01 
125,9.001 037 598,"Task 0xE0000000","k_event_post","event=0x20007198, events=1, events_mask=4294967295",294946,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,165,1131,15,A5 01 0B 98 E3 81 80 02 01 FF FF FF FF 0F 00 
126,9.001 037 598,"Task 0xE0000000","k_event_post","Returns after 0.000 us",294946,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1146,5,1C 02 A5 01 00 
127,9.001 037 598,"Task 0xE0000000","k_sem_take","sem=0x200065FC, Timeout=FOREVER",294946,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,42,1151,13,2A 0A FC CB 81 80 02 FF FF FF FF 0F 00 
128,9.001 037 598,"Task 0xE0000000","k_sem_take","Returns ESUCCESS after 0.000 us",294946,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1164,5,1C 02 2A 00 00 
129,9.001 068 115,"Task 0xE0000000","k_mutex_lock","mutex=0x200065D8,",294947,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,39,1169,13,27 0A D8 CB 81 80 02 FF FF FF FF 0F 01 
130,9.001 068 115,"Task 0xE0000000","k_mutex_lock","Returns ESUCCESS after 0.000 us",294947,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1182,5,1C 02 27 00 00 
131,9.001 068 115,"Task 0xE0000000","k_mutex_unlock","",294947,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,38,1187,8,26 05 D8 CB 81 80 02 00 
132,9.001 068 115,"Task 0xE0000000","k_mutex_unlock","Returns ESUCCESS after 0.000 us",294947,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1195,5,1C 02 26 00 00 
133,9.001 068 115,"Task 0xE0000000","k_sem_take","sem=0x200065C0, Timeout=FOREVER",294947,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,42,1200,13,2A 0A C0 CB 81 80 02 FF FF FF FF 0F 00 
134,9.001 098 633,"Task 0xE0000000","Task Block","Display, Reason=24",294948,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,7,1213,5,07 F0 43 18 01 
135,9.001 098 633,"Task 0xE0000000","Task Stop","",294948,0x00000008E0000000,0x00000008E0000000,0x0000000400000000,5,1218,2,05 00 
136,9.001 098 633,"Task 0xE0000000","Task Run","Runs for 61.035 us",294948,0x0000000400000000,0x00000008E0000000,0x00000008E0000000,4,1220,7,04 80 80 80 80 0E 00 
137,9.001 098 633,"Task 0xE0000000","k_event_post","event=0x20007208, events=1, events_mask=4294967295",294948,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,165,1227,15,A5 01 0B 88 E4 81 80 02 01 FF FF FF FF 0F 00 
138,9.001 098 633,"Task 0xE0000000","k_event_post","Returns after 0.000 us",294948,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1242,5,1C 02 A5 01 00 
139,9.001 129 150,"Task 0xE0000000","k_sem_take","sem=0x200065FC, Timeout=FOREVER",294949,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,42,1247,13,2A 0A FC CB 81 80 02 FF FF FF FF 0F 01 
140,9.001 129 150,"Task 0xE0000000","k_sem_take","Returns ESUCCESS after 0.000 us",294949,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1260,5,1C 02 2A 00 00 
141,9.001 129 150,"Task 0xE0000000","k_mutex_lock","mutex=0x200065D8,",294949,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,39,1265,13,27 0A D8 CB 81 80 02 FF FF FF FF 0F 00 
142,9.001 129 150,"Task 0xE0000000","k_mutex_lock","Returns ESUCCESS after 0.000 us",294949,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1278,5,1C 02 27 00 00 
143,9.001 129 150,"Task 0xE0000000","k_mutex_unlock","",294949,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,38,1283,8,26 05 D8 CB 81 80 02 00 
144,9.001 159 668,"Task 0xE0000000","k_mutex_unlock","Returns ESUCCESS after 30.518 us",294950,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,28,1291,5,1C 02 26 00 01 
145,9.001 159 668,"Task 0xE0000000","k_sem_take","sem=0x200065C0, Timeout=FOREVER",294950,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,42,1296,13,2A 0A C0 CB 81 80 02 FF FF FF FF 0F 00 
146,9.001 159 668,"Task 0xE0000000","Task Block","Tire, Reason=24",294950,0x00000008E0000000,0x00000008E0000000,0x00000008E0000000,7,1309,5,07 B0 45 18 00 
